All citizenships,All S&E,All Institutions,All races and ethnicities,Both sexes,2015,180955
All citizenships,Engineering,All Institutions,All races and ethnicities,Both sexes,2015,49207
All citizenships,Agricultural sciences,All Institutions,All races and ethnicities,Both sexes,2015,5792
All citizenships,Biological sciences,All Institutions,All races and ethnicities,Both sexes,2015,14370
All citizenships,Earth atmospheric and ocean sciences,All Institutions,All races and ethnicities,Both sexes,2015,2212
All citizenships,Computer sciences,All Institutions,All races and ethnicities,Both sexes,2015,31552
All citizenships,Mathematics,All Institutions,All races and ethnicities,Both sexes,2015,8269
All citizenships,Physical sciences,All Institutions,All races and ethnicities,Both sexes,2015,4744
All citizenships,Psychology,All Institutions,All races and ethnicities,Both sexes,2015,24029
All citizenships,Social sciences,All Institutions,All races and ethnicities,Both sexes,2015,40780
All citizenships,Non-S&E ,All Institutions,All races and ethnicities,Both sexes,2015,583025
All citizenships,All Fields,All Institutions,All races and ethnicities,Both sexes,2015,763980
All citizenships,All S&E,All Institutions,All races and ethnicities,Both sexes,2017,206172
All citizenships,Engineering,All Institutions,All races and ethnicities,Both sexes,2017,56971
All citizenships,Agricultural sciences,All Institutions,All races and ethnicities,Both sexes,2017,6119
All citizenships,Biological sciences,All Institutions,All races and ethnicities,Both sexes,2017,16253
All citizenships,Earth atmospheric and ocean sciences,All Institutions,All races and ethnicities,Both sexes,2017,2182
All citizenships,Computer sciences,All Institutions,All races and ethnicities,Both sexes,2017,46615
All citizenships,Mathematics,All Institutions,All races and ethnicities,Both sexes,2017,10294
All citizenships,Physical sciences,All Institutions,All races and ethnicities,Both sexes,2017,4757
All citizenships,Psychology,All Institutions,All races and ethnicities,Both sexes,2017,24653
All citizenships,Social sciences,All Institutions,All races and ethnicities,Both sexes,2017,38328
All citizenships,Non-S&E ,All Institutions,All races and ethnicities,Both sexes,2017,603936
All citizenships,All Fields,All Institutions,All races and ethnicities,Both sexes,2017,810108
All citizenships,All S&E,Doctorate-granting universities — very high research activity,All races and ethnicities,Both sexes,2017,94413
All citizenships,All S&E,Doctorate-granting universities — high research activity,All races and ethnicities,Both sexes,2017,33244
All citizenships,All S&E,Doctoral/ research universities,All races and ethnicities,Both sexes,2017,21014
All citizenships,All S&E,Master’s colleges and universities,All races and ethnicities,Both sexes,2017,50017
All citizenships,All S&E,Baccalaureate colleges,All races and ethnicities,Both sexes,2017,1307
All citizenships,All S&E,Associate’s colleges,All races and ethnicities,Both sexes,2017,3
All citizenships,All S&E,Medical schools and medical centers,All races and ethnicities,Both sexes,2017,1512
All citizenships,All S&E,Schools of engineering,All races and ethnicities,Both sexes,2017,383
All citizenships,All S&E,Other special-focus institutions,All races and ethnicities,Both sexes,2017,3650
All citizenships,All S&E,Tribal colleges,All races and ethnicities,Both sexes,2017,6
All citizenships,All S&E,Not classified,All races and ethnicities,Both sexes,2017,623
All citizenships,Agricultural sciences,Doctorate-granting universities — very high research activity,All races and ethnicities,Both sexes,2017,3605
All citizenships,Agricultural sciences,Doctorate-granting universities — high research activity,All races and ethnicities,Both sexes,2017,1012
All citizenships,Agricultural sciences,Doctoral/ research universities,All races and ethnicities,Both sexes,2017,318
